location,name,description,hours_op,dresscode,address,neighborhood,phone-number,website,city_id,pricing,,cuisine type,num stars,num_of_views
New York,Pascal's,"A great place to enjoy handcrafted ales, wine, spirits and pub fare with family and friends.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,483 Wakefield Street,East Village,(914) 776-1856,,7,2,,,4,0
New York,North Street BrewHouse,"Established 1985, sportsbar with seating. Neighborhood place with friendly faces and a great beer selection.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,3272 Coburn Hollow Road,Garment District,(347) 296-1035,,7,2,,,4,0
New York,Pixel,"Lounge to live music, sing to karaoke, relax in our speakeasy or enjoy the open dance floor with your friends. Seasonal menu selection",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,958 Philadelphia Avenue,Gramercy Flatiron,(845) 988-9845,,7,2,,,4,0
Des Moines,Salami,"Fresh daily meats, 7 days a week!",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,4742 Willow Greene Drive,Downtown,(515) 555-0132,,8,1,,,4,0
Des Moines,Jupiter PentHouse,"Stylish, cozy cafe in a converted house serving beer, wine & a menu of soups, salads & sandwiches.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,1561 Randolph Street,East Village,(515) 555-0166,,8,2,,,4,0
Des Moines,The Wave,"The ingredients are carefully selected directly at the production sites, and cooked to emphasize their natural tastes and flavors, with which you can feel the change of the season with your five senses. Their main dishes include steak and shabu-shabu (sliced meat parboiled with vegetables) with specially-selected A5-rank Japanese beef, mainly from Miyazaki, Saga, Sanda, and Omi",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,4121 Kembery Drive,Sherman Hill,(515) 555-0198,,8,1,,,4,0
Des Moines,Freedman's,"We're in the flavor business. It's been our mission to serve the world flavor since we first opened shop in '94, and we're just getting started. Our award winning Chicken wings are always cooked-to-order, handcrafted, sauced, tossed and freshly made",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,3565 Hott Street,Southwestern Hills,(515) 555-0166,,8,2,,,4,0
Des Moines,Lolo,"Loló is a family-owned restaurant that offers non-traditional and uniquely inspired Mexican food, utilizing local ingredients. Through the use of color, music and great food, coupled with the vision of one of Mexico's most creative designers, Loló invites people to experience Mexican culture and cuisine, reimagined.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,974 Valencia St.,Salisbury Oaks,(415) 643-5656,lolosf.com,8,2,,,4,0
Des Moines,Crazy Pepper,"Soul food with SPICE. Energetic, comfortable vibe",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,2366  Florence Street,Lower Beaver,(515) 555-0132,,8,2,,,4,0
Las Vegas,Sweet Tooth,"We specialize in cakes for all occasions, desserts and breakfast pastries. Some our daily offerings are croissants, cinnamon rolls, quiche, eclairs, cupcakes, ice cream, brownies, and petit fours. We also serve cakes, cheesecakes and pies by the slice.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,1707 Clement Street,Summerlin,(702) 657-6821,,9,2,,,4,0
Las Vegas,Pepe Pomodoro,"Focusing on sustainable local organic practices, We are proud to offer fresh organic pasta dishes prepared with love and integrity. ""Where old-world flavors meet new-school tastes. Join us for lunch or dinner or take home some fresh pasta to cook yourself.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,687 White Avenue,Downtown,(702) 810-2974,,9,2,,,4,0
Las Vegas,Dot.,"Our broth and noodles are made fresh everyday to make the best ramen possible for our customers. Miso (vegetarian option), Shoyu (soy sauce) and Shio (salt) soups are the three bases used for our ramen. The options for toppings include bamboo, bean sprouts, butter, corn, green beans, green onions, marinated pork, nin-niku (blended garlic) and wakame (seaweed). Gyoza, also known as Potsickers, are handmade daily and are the favorite of many.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,1987 Cheshire Road,Arts District,(775) 549-4141,,9,3,,,4,0
Las Vegas,Mame,Japanese small plates. Classic and contemporary cocktails. Burgers and fries. Open late. House made tonkotsu ramen after 11pm nightly!,SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,1835 Timber Oak Drive,Desert Shores,(775) 340-6552,,9,4,,,4,0
Las Vegas,Moon Pie,"We offer whole pies and slices, fresh & hot New York-style thin crust pizza, and freshly tossed salad delivered to your office, home, meetings or parties. Please come and dine with us today.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,423 Doctors Drive,Queensridge,(702) 657-6821,,9,2,,,4,0
Las Vegas,Luigi's Pub,"Inspired by the farms, vineyards and waters of the Pacific Northwest where we started our first restaurant 20 years ago, we are dedicated to serving up two of life's greatest pleasures... pasta and wine. We love how a steaming bowl of pasta warms your hands as well as your spirits.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,115 Randall Drive,Paul Culley,(702) 810-2974,,9,1,,,4,0
Las Vegas,,"Quality homemade Mexican food! Fresh homemade tortillas, quality meats and a large array of options for meat lovers and vegetarians. Try us out!",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,1909 Felosa Drive,Downtown,(775) 549-4141,,9,2,,,4,0
Las Vegas,Yoshitsune Restaurant,"The ingredients are carefully selected directly at the production sites, and cooked to emphasize their natural tastes and flavors, with which you can feel the change of the season with your five senses. Their main dishes include steak and shabu-shabu (sliced meat parboiled with vegetables) with specially-selected A5-rank Japanese beef, mainly from Miyazaki, Saga, Sanda, and Omi",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,2151 Woodlawn Drive,Downtown,(775) 340-6552,,9,5,,,4,0
Denver,Niitaka,"Enjoy a wide variety of warayaki dishes with [Bonito Direct from Kochi, Salted and Lightly Straw-Seared] with a condensed savory taste, Shimanto Chicken, Shimanto Pork, and Tosa Japanese Beef. For those who want to taste various dishes, [Course with the Local Dishes from Tosa Shimizu] is a recommendation. This course, including all-you-can-drink, is also ideal for banquets such as girl's parties and farewell parties.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,3332 Hartway Street,LoDo,(303) 555-0178,,10,4,,,4,0
Denver,Wagokoro Shunsai,"The master chef carefully selects seasonal ingredients from all over Japan and cooks them with his skillful techniques obtained through rich experiences. At the counter seats, you can enjoy a culinary stage, where your senses are stimulated by his Japanese techniques obtained through cha-kaiseki (traditional Japanese cuisine for tea ceremonies) and kappo (traditional Japanese cuisine) restaurants. He serves a piece of savory sushi directly from his hand, to deliver the ultimate feelings of presence as well.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,788 Hog Camp Road,Cherry Creek,(303) 555-0144,,10,2,,,4,0
Denver,Niku no Wana,"Come to Niku no Wana and enjoy carefully selected Kuroge Wagyu over a drink or two. You can enjoy a wide variety of dishes with the meat cooked over delicately balanced heat. Go with the [Kuroge Wagyu Salted Hamburg Patty] to fully enjoy the original flavor of the meat. It's one of the most popular dishes here. There is also a good selection of side dishes to go with your meat, like the [Niku Wana Salad]. The course meal featuring their most popular dishes is perfect for banquets and gatherings. There's a great selection of alcohol in their all-you-can-drink option as well.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,3873 Aaron Smith Drive,River North Art District,(303)-555-0107,,10,3,,,4,0
Denver,Verdana Soul,"Lounge to live music, sing to karaoke, relax in our speakeasy or enjoy the open dance floor with your friends. Seasonal menu selection",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,4522 Francis Mine,City Park,(303) 555-0178,,10,2,,,4,0
Denver,Teppanyaki Ginza Onodera,"When you pass through the shop curtain at the entrance, a sophisticated space spreads out. This restaurant steadily offers rare cuts and Japanese beef of specially-selected brands, which are aged while they are fresh. They carefully prepare everything to detail, such as tableware, cuisine, and seasonings, to offer a relaxing moment to the guests.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,4470 Elliot Avenue,LoDo,(303) 555-0144,,10,2,,,4,0
Denver,Baseline Brunch,"We opened our doors in 2015, but Baseline Brunch is the culmination of a 20 year dream to bring scratch-made, homestyle dining to the people of Austin.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,4367 Ritter Street,Cherry Creek,(303)-555-0107,,10,2,,,4,0
Denver,Bourbon Bicycle Club,"Specializing in rum, rum tours, wood fired pizza, salad, and house made sodas.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,4948 Rhapsody Street,River North Art District,(303) 555-0178,,10,2,,,4,0
Denver,Mr Figaro,"Voted '2017-18 Best Italian Restaurant in Las Vegas"" by Las Vegas Magazine Delicious Restaurant Awards! Arancino, Nevadas premier Italian ristorante, showcases classic Italian dishes with a modern twist using only the finest ingredients imported from Italy. We invite you to discover and experience the culinary creations of Italy through Erik Elliot thoughtfully crafted menu.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,3168 Quincy Street,City Park,(303) 555-0144,,10,2,,,4,0
Seattle,Teppanyaki Ginza Onodera,"When you pass through the shop curtain at the entrance, a sophisticated space spreads out. This restaurant steadily offers rare cuts and Japanese beef of specially-selected brands, which are aged while they are fresh. They carefully prepare everything to detail, such as tableware, cuisine, and seasonings, to offer a relaxing moment to the guests.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,4470 Elliot Avenue,Northgate,(719) 266-2837,,11,2,,,4,0
Seattle,VINO,"At VINO, we've created a unique and charming dining setting reminiscent of an authentic Italian Enoteca: a colorful, casual, rustic wine bar. We offer 20 wines by the glass, each specifically selected by our very own Master Sean Durnin. Wines are offered in both 2-ounce and 5-ounce servings. The tasting portions enable you to try more than one or two wines...create a flight of wines and taste them side by side. We feature wines produced from indigenous grape varieties, providing a sense of culture and heritage for a true taste of Italy and around the world.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,712 Rainbow Road,Downtown,(206) 200-8569,,11,3,,,4,0
Seattle,Minnies,"We offer a value experience during the day with cashiers and gourmet plate lunches in ""green"" styrofoam plates, we have our own fish market with a poke bar and our home smoked fish. A night we offer full service with a full bar and ""plein air"" dining by harbor lights. If fish is your passion, please check us out.",SUN-MON: 12:00 PM - 11:30 PM ,Casual,1446 Khale Street,West Seattle,(206) 202-0526,,11,2,,,4,0
Seattle,Sweet Tooth,"We specialize in cakes for all occasions, desserts and breakfast pastries. Some our daily offerings are croissants, cinnamon rolls, quiche, eclairs, cupcakes, ice cream, brownies, and petit fours. We also serve cakes, cheesecakes and pies by the slice.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,1707 Clement Street,Capitol Hill,(206) 204-8698,,11,1,,,4,0
Seattle,Pepe Pomodoro,"Focusing on sustainable local organic practices, We are proud to offer fresh organic pasta dishes prepared with love and integrity. ""Where old-world flavors meet new-school tastes. Join us for lunch or dinner or take home some fresh pasta to cook yourself.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,687 White Avenue,Ballard,(206) 200-8569,,11,2,,,4,0
Seattle,Dot.,"Our broth and noodles are made fresh everyday to make the best ramen possible for our customers. Miso (vegetarian option), Shoyu (soy sauce) and Shio (salt) soups are the three bases used for our ramen. The options for toppings include bamboo, bean sprouts, butter, corn, green beans, green onions, marinated pork, nin-niku (blended garlic) and wakame (seaweed). Gyoza, also known as Potsickers, are handmade daily and are the favorite of many.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,1987 Cheshire Road,Pioneer Square,(206) 202-0526,,11,5,,,4,0
Seattle,Mame,Japanese small plates. Classic and contemporary cocktails. Burgers and fries. Open late. House made tonkotsu ramen after 11pm nightly!,SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,1835 Timber Oak Drive,Lake City,(206) 204-8698,,11,4,,,4,0
Seattle,Moon Pie,"We offer whole pies and slices, fresh & hot New York-style thin crust pizza, and freshly tossed salad delivered to your office, home, meetings or parties. Please come and dine with us today.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,423 Doctors Drive,Waterfront,(719) 266-2837,,11,2,,,4,0
Seattle,Luigi's Pub,"Inspired by the farms, vineyards and waters of the Pacific Northwest where we started our first restaurant 20 years ago, we are dedicated to serving up two of life's greatest pleasures... pasta and wine. We love how a steaming bowl of pasta warms your hands as well as your spirits.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,115 Randall Drive,Phinney Ridge,(206) 202-0526,,11,1,,,,0
Seattle,,"Quality homemade Mexican food! Fresh homemade tortillas, quality meats and a large array of options for meat lovers and vegetarians. Try us out!",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,1909 Felosa Drive,Waterfront,(719) 266-2837,,11,2,,,4,0
Seattle,Yoshitsune Restaurant,"The ingredients are carefully selected directly at the production sites, and cooked to emphasize their natural tastes and flavors, with which you can feel the change of the season with your five senses. Their main dishes include steak and shabu-shabu (sliced meat parboiled with vegetables) with specially-selected A5-rank Japanese beef, mainly from Miyazaki, Saga, Sanda, and Omi",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,2151 Woodlawn Drive,Waterfront,(206) 200-8569,,11,3,,,4,0
Seattle,Crooked Spoke ,"Welcome to our full scale pub with a dedicated emphasis on local sustainability, embracing the idea of preservation and conservation. We offer our guests a well thought and constructed menu of food, craft beer, wine, full bar with specialty cocktails, and nightly events utilizing as many local products as we can. We are dedicated to minimizing our footprint on many levels...being locally sourced, maximizing the products delivered to us, preservation of product via canning and utilization, as well as choosing compostable materials.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,3928 Hazelwood Avenue,Fremont,(206) 202-0526,,11,2,,,4,0
Seattle,Dirty Chai,"Loose leaf teas, chais, matcha, boba, kombucha, tea lattes, and all the snacks.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,99 Jerry Toth Drive,University District,(719) 266-2837,,11,2,,,4,0
Seattle,Bellie,We offer a lg unique variety of burgers and buns and for those of age they can be paired with a delicious beer or wine. Also plenty of chicken and options for kids,MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,539 Hayhurst Lane,Belltown,(206) 200-8569,,11,2,,,4,0
Seattle,Ginger Spice,Our brewery is the first of its kind - 20 ginger beers offered on tap and seating in the ginger beer garden where you can grab a bite from the Thai food cart.,MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,2484 Carriage Lane,Fremont,(206) 200-8569,,11,2,,,4,0
